Price,Close,High,Low,Open,Volume
Ticker,BYD,BYD,BYD,BYD,BYD
Date,,,,,
2015-12-31,18.669925689697266,18.99878554009274,18.57596496437637,18.641736934455466,1247700
2016-01-04,17.861860275268555,18.416226406832347,17.711523879470022,18.27528625979012,3445300
2016-01-05,17.918241500854492,18.124955452932387,17.843073279776643,17.918241500854492,1411200
2016-01-06,17.955827713012695,18.153143634532807,17.486025851696,17.65515480851431,1444400
2016-01-07,16.706159591674805,17.68334680960708,16.65917831687128,17.42025883931689,1797700
2016-01-08,17.457839965820312,18.47261208145968,17.38267172733414,17.561196965795858,3044900
2016-01-11,17.429651260375977,17.937038215903247,17.0350175590166,17.561197022263887,1026400
2016-01-12,17.044408798217773,17.974616150854683,16.79071718724527,17.974616150854683,1433000
2016-01-13,16.3303165435791,17.24173356007115,15.832327576285808,17.04441579042196,2038600
2016-01-14,16.76252555847168,16.894069466940312,15.973258523357217,16.358495791430784,1750100
2016-01-15,16.809513092041016,16.8940775858826,16.11420642546194,16.283335413145107,1501200
2016-01-19,16.226951599121094,17.147762526597408,16.048426446356892,17.00682237111043,2011800
2016-01-20,15.522254943847656,16.029640055355667,14.281977339472084,15.916888604865886,3306900
2016-01-21,15.465880393981934,15.597426167663148,14.986683053149902,15.465880393981934,2749200
2016-01-22,15.851113319396973,16.20816189431932,15.541044207017798,15.775945104036918,1730500
2016-01-25,15.40949821472168,16.067221431655877,15.390705713174626,15.775944826282887,1103800
2016-01-26,15.681983947753906,15.71017090763002,15.090032700233545,15.390705553255888,689100
2016-01-27,15.935681343078613,16.34910756241998,15.785344861891248,16.245752351698805,1833300
2016-01-28,16.198768615722656,16.377293832017568,15.992056433590408,16.17057985773337,1402700
2016-01-29,16.73434829711914,16.753140808986373,16.039041487404727,16.226963021771898,1867200
2016-02-01,16.77192497253418,16.97863712372388,16.179973688431456,16.621588536732272,1403700
2016-02-02,16.001453399658203,16.593403006608938,15.822928175403971,16.537027280268877,1155500
2016-02-03,15.635004997253418,16.15178810763515,15.033659202636542,16.15178810763515,1583300
2016-02-04,15.813531875610352,16.076621584673553,15.343729975809508,15.719571137219779,1247100
2016-02-05,14.902115821838379,15.738363519491246,14.620235401036654,15.738363519491246,2603500
2016-02-08,14.131640434265137,14.704798402021272,13.361165642187059,14.63902642593928,2009200
2016-02-09,14.131640434265137,14.610838564200709,13.73700678562125,13.934323609943194,1332000
2016-02-10,14.432313919067383,14.789363467470775,14.065869013764011,14.272581202779655,1786600
2016-02-11,14.056472778320312,14.328957842431713,13.708819482459287,14.094056894195127,1547600
2016-02-12,15.014866828918457,15.099431306039863,14.35714441230608,14.422917281220466,2002500
2016-02-16,15.794742584228516,15.89809959670975,15.05245636338365,15.296753616060503,2361300
2016-02-17,16.208168029785156,16.339712008422214,15.447089337145714,16.029642778668936,3655300
2016-02-18,16.03903579711914,16.36789746951275,15.851116121574176,16.25514423046422,1301600
2016-02-19,15.315539360046387,16.086015887727758,15.268559892622118,16.010847664557843,5659400
